OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
ORD00001,2025-11-24,CUST1456,East,Table,Furniture,4,7479,29916,Completed,Ankit Joshi
ORD00002,2025-10-07,CUST1356,South,Laptop,Electronics,2,52506,105012,Completed,Lakshmi Rao
ORD00003,2025-10-15,CUST1814,South,Shoes,Clothing,10,2908,29080,Returned,Lakshmi Rao
ORD00004,2025-12-24,CUST2731,North,Table,Furniture,4,9114,36456,Completed,Amit Sharma
ORD00005,2025-07-14,CUST1396,North,Desk,Furniture,5,9916,49580,Completed,Vijay Kumar
ORD00006,2025-03-05,CUST4985,South,Smartwatch,Electronics,5,8858,44290,Cancelled,Suresh Babu
ORD00007,2025-10-23,CUST1787,East,Smartphone,Electronics,5,25218,126090,Cancelled,Rahul Mehta
ORD00008,2025-07-14,CUST2138,South,Table,Furniture,6,7910,47460,Cancelled,Divya Menon
ORD00009,2025-12-16,CUST3654,East,Dumbbells,Sports,9,2164,19476,Completed,Priya Shah
ORD00010,2025-05-19,CUST4790,West,Chair,Furniture,4,5527,22108,Cancelled,Rohan Desai
ORD00011,2025-05-18,CUST1271,West,Running Shoes,Sports,4,4255,17020,Completed,Kavita Nair
ORD00012,2025-08-23,CUST1585,North,Jeans,Clothing,9,1241,11169,Completed,Neha Gupta
ORD00013,2025-10-26,CUST2635,North,Jeans,Clothing,9,1228,11052,Completed,Amit Sharma
ORD00014,2025-03-20,CUST3570,West,Fruit Basket,Food,2,498,996,Completed,Rohan Desai
ORD00015,2025-09-28,CUST2029,East,Smartwatch,Electronics,5,8737,43685,Completed,Priya Shah
ORD00016,2025-08-11,CUST1647,South,Tablet,Electronics,9,19628,176652,Completed,Lakshmi Rao
ORD00017,2025-11-17,CUST2222,West,Jacket,Clothing,3,2587,7761,Cancelled,Kavita Nair
ORD00018,2025-01-01,CUST3453,North,Organic Pack,Food,2,905,1810,Cancelled,Neha Gupta
ORD00019,2025-05-03,CUST1237,West,Yoga Mat,Sports,2,1299,2598,Cancelled,Kavita Nair
ORD00020,2025-03-06,CUST1525,South,Dumbbells,Sports,5,2063,10315,Cancelled,Lakshmi Rao
ORD00021,2025-10-04,CUST4093,West,Bookshelf,Furniture,6,6057,36342,Completed,Sneha Patel
ORD00022,2025-05-07,CUST1920,East,Chair,Furniture,10,5192,51920,Completed,Rahul Mehta
ORD00023,2025-02-06,CUST3899,East,T-Shirt,Clothing,1,557,557,Completed,Rahul Mehta
ORD00024,2025-05-23,CUST3740,South,Dress,Clothing,3,1945,5835,Returned,Divya Menon
ORD00025,2025-08-31,CUST1995,South,Snack Box,Food,2,369,738,Completed,Suresh Babu
ORD00026,2025-07-30,CUST2912,East,Laptop,Electronics,7,59512,416584,Cancelled,Rahul Mehta
